epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,1.8292926025178697,0.32295555555555555,1.5379100034713744,0.4474,1.5305528572082518,0.446,0.43168583512306213,0.4324207901954651
2,1.4985119642681546,0.45686666666666664,1.3398413646697998,0.5256,1.341751404762268,0.5205,0.5220910310745239,0.5165606737136841
3,1.3674201343960233,0.5030888888888889,1.2885201667785644,0.53,1.2930307140350341,0.5374,0.5276972651481628,0.5345433950424194
4,1.2822065891265868,0.5366888888888889,1.1840859283447265,0.5814,1.1946210323333741,0.5685,0.5789159536361694,0.5656417608261108
5,1.2242616829978095,0.5590444444444445,1.1516218936920166,0.5894,1.162942004776001,0.5868,0.5862017869949341,0.583877444267273
6,1.1807261407852172,0.5744666666666667,1.1517584228515625,0.5932,1.1487153774261474,0.5876,0.5940362215042114,0.586729109287262
7,1.1348165438546074,0.5928,1.0948568378448487,0.607,1.094590423965454,0.6022,0.6013491749763489,0.5959764122962952
8,1.0955088069279988,0.6055333333333334,1.0500474559783937,0.625,1.0655681228637695,0.6138,0.6239484548568726,0.6110057830810547
9,1.0567914914660983,0.6218,1.0372646816253661,0.6212,1.0481737649917602,0.6231,0.6177252531051636,0.6177917718887329
10,1.0277080860349868,0.6318666666666667,1.0218705263137817,0.6304,1.0296790613174438,0.6303,0.630461573600769,0.6294358968734741
11,1.0028823625564576,0.6412,0.9696423984527588,0.6558,0.984791680431366,0.6489,0.6513522863388062,0.6444587707519531
12,0.9718859778722128,0.6490888888888889,0.9804350399017334,0.6422,0.9912454147338867,0.6408,0.6399516463279724,0.6373611688613892
13,0.9516691933631897,0.6591777777777778,0.984849369430542,0.6462,1.0040459093093872,0.6411,0.6452608704566956,0.639931321144104
14,0.9262083608415391,0.6679555555555555,0.9177297676086426,0.6738,0.9313326978683472,0.6649,0.6736801862716675,0.663626492023468
15,0.9019312607235379,0.6762666666666667,0.9383287145614624,0.6686,0.9502292819023133,0.6606,0.6672841310501099,0.659717857837677
16,0.8848373492876689,0.6836444444444445,0.9253030807495117,0.668,0.9250199548721314,0.668,0.6663154363632202,0.6649103164672852
17,0.8590618448575338,0.6924444444444444,0.8796248163223267,0.6908,0.9013584064483643,0.6758,0.6894628405570984,0.6732426881790161
18,0.8465949093394809,0.6964,0.8827788766860962,0.681,0.9078148164749146,0.6786,0.6783326268196106,0.6747623085975647
19,0.8215264590157403,0.7066666666666667,0.860625708770752,0.6976,0.8756830139160157,0.6868,0.6975829005241394,0.6855030059814453
20,0.8115988611009386,0.7110888888888889,0.8486919898986817,0.7022,0.8549256932258607,0.7037,0.698560893535614,0.6991742849349976
21,0.7846054948065015,0.7177333333333333,0.871995560836792,0.69,0.8863062876701355,0.6886,0.6893008947372437,0.686979353427887
22,0.7682488826857673,0.7232888888888889,0.8410772259712219,0.7046,0.8572432415008545,0.6987,0.7057226896286011,0.6981972455978394
23,0.7583033722877502,0.7285555555555555,0.8170144543647766,0.7082,0.8362081628799438,0.7001,0.7088301777839661,0.6993097066879272
24,0.7402801353136699,0.7348222222222223,0.8130981773376464,0.7224,0.8278935159683227,0.7065,0.7185654640197754,0.7017928957939148
25,0.7256416103786892,0.7393333333333333,0.813517877292633,0.7166,0.836075236415863,0.708,0.7152834534645081,0.7051113843917847
26,0.7020750444200304,0.7492,0.83324748878479,0.7106,0.8280250426769257,0.7158,0.7095133662223816,0.7133466005325317
27,0.6988676115671794,0.7508222222222222,0.8021973529815674,0.7166,0.8194890328407287,0.7123,0.7205200791358948,0.7148435115814209
28,0.6740936281945971,0.7574666666666666,0.7752569960594178,0.7274,0.7900703650474549,0.7251,0.7269240021705627,0.7238675355911255
29,0.6691520819716983,0.7591333333333333,0.800160813331604,0.7166,0.805100387954712,0.7177,0.7187355756759644,0.7182267308235168
30,0.6547015938864814,0.7660222222222223,0.8341881645202637,0.7058,0.8313769079208374,0.7089,0.7028353214263916,0.7055568695068359
31,0.640409307829539,0.7704888888888889,0.7637628034591675,0.7322,0.7618477291107177,0.7354,0.7318384647369385,0.7340303659439087
32,0.6306088925149705,0.7735111111111111,0.8222878576278686,0.714,0.8269310075759888,0.7172,0.7173880338668823,0.718633234500885
33,0.6221347736676534,0.7781555555555556,0.7733553715705872,0.7336,0.7787693523406982,0.7331,0.7321388721466064,0.7308720946311951
34,0.6044488940874736,0.7832666666666667,0.754743113899231,0.734,0.7658917063713073,0.737,0.7346558570861816,0.7366248965263367
35,0.5870950918833415,0.7873111111111111,0.7844622528076172,0.7234,0.7983632591247558,0.7243,0.7214063405990601,0.7218201756477356
36,0.5766009376525879,0.7934,0.7779912162780762,0.7352,0.7842633302688599,0.7361,0.7327041029930115,0.7327305674552917
37,0.5648508972697788,0.7960222222222222,0.7704915015220642,0.736,0.7589575649261474,0.7407,0.7335872650146484,0.7377113699913025
38,0.5572299167421129,0.7993333333333333,0.7785303091049194,0.7362,0.7746691484928131,0.7384,0.7339739203453064,0.7348219156265259
39,0.5443630037731595,0.8033777777777777,0.7671697671890259,0.7336,0.7736249608993531,0.7411,0.7319706678390503,0.7387436032295227
40,0.5343484024206797,0.8091555555555555,0.7582360005378723,0.745,0.7567263530731201,0.7466,0.743169903755188,0.7448495626449585
41,0.5243686010254754,0.8112,0.7726406678199768,0.7404,0.766664210987091,0.7421,0.7418779134750366,0.7425523996353149
42,0.5062499100261264,0.8189555555555555,0.7605552401542663,0.7478,0.7759724918365478,0.7452,0.7465971112251282,0.7431637048721313
43,0.5015202095985413,0.8195333333333333,0.7646338009834289,0.7374,0.7489479074478149,0.7493,0.7373771071434021,0.7480013966560364
44,0.49198969151708816,0.8233555555555555,0.7650982404708863,0.7426,0.7581177096366882,0.7465,0.7402196526527405,0.7433476448059082
45,0.4803434865103828,0.8290666666666666,0.7680296579360962,0.7488,0.7585621462821961,0.7526,0.7480007410049438,0.7505584955215454
46,0.47160177076127796,0.8285777777777777,0.761882761478424,0.7494,0.7491223985671998,0.751,0.7495133280754089,0.7502188086509705
47,0.46113140258259244,0.8344222222222222,0.7591809363365173,0.752,0.7672464608192444,0.7513,0.7508383989334106,0.7493842840194702
48,0.4538956759240892,0.8373777777777778,0.7888324876785279,0.7364,0.7769269857406617,0.7432,0.735946774482727,0.7424110174179077
49,0.4481747074498071,0.8377333333333333,0.7722532499313355,0.747,0.7631994103431702,0.7467,0.7450252175331116,0.7434271574020386
50,0.4429918697886997,0.8400444444444445,0.7697504965782166,0.75,0.7542313482284546,0.7553,0.7505801320075989,0.7543867826461792
51,0.4293379825962914,0.8450888888888889,0.7872867010116578,0.7372,0.7740639752388,0.7469,0.7357557415962219,0.7452837824821472
52,0.4235000722461277,0.8470666666666666,0.7867346940994263,0.7506,0.7794062901496888,0.752,0.7492479085922241,0.7501319050788879
53,0.41310008969306944,0.8500444444444445,0.7791097263336182,0.7506,0.7889886072158814,0.7476,0.7515424489974976,0.7476203441619873
54,0.3318252115196652,0.8812666666666666,0.7553382002830505,0.7598,0.7581198226928711,0.7656,0.7602303624153137,0.7645865082740784
55,0.31244414193895126,0.8879555555555556,0.7844016124725341,0.7608,0.7776358086585998,0.7629,0.7601909637451172,0.7606751918792725
56,0.298259379641215,0.8924,0.7858403183937073,0.761,0.7678671663284302,0.7661,0.7629549503326416,0.7668894529342651
57,0.29134095034069485,0.8968666666666667,0.7931482036590576,0.7596,0.7834263999938965,0.7626,0.7611814737319946,0.7627542614936829
58,0.2825497208899922,0.8994666666666666,0.8118593362808227,0.7616,0.792666077709198,0.7616,0.7622084021568298,0.7609484791755676
59,0.2786570473988851,0.9007777777777778,0.8393108277320862,0.7512,0.8094191624641418,0.7577,0.7511940002441406,0.7570536136627197
60,0.27290070034662883,0.9020666666666667,0.8146532846450806,0.7548,0.7918976040840149,0.7638,0.7566271424293518,0.7644925117492676
61,0.26748746409946017,0.9036,0.8458706985473633,0.7524,0.8275204919815063,0.7524,0.7537452578544617,0.7530546188354492
62,0.2605801663266288,0.9065777777777778,0.8479997822761536,0.7576,0.8297081285476685,0.76,0.7575658559799194,0.7590957880020142
63,0.25694262041515775,0.9076222222222222,0.8467634888648987,0.7516,0.8236698948860168,0.7573,0.7538421750068665,0.7583845257759094
64,0.25089261974228755,0.9095555555555556,0.8455346360206604,0.7598,0.8190913022994996,0.7608,0.7608076333999634,0.7610893845558167
65,0.20577761387295193,0.9265333333333333,0.8580515807151794,0.762,0.8269948072433472,0.7688,0.7625323534011841,0.7684286236763
66,0.19319451351298225,0.9333777777777778,0.8698683454513549,0.7596,0.8427920283317566,0.765,0.7607767581939697,0.7654780149459839
