epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,val_macro_f1,test_macro_f1
1,1.785572834332784,0.33237777777777777,1.5095217922210693,0.453,1.5314688386917115,0.4512,0.43777602910995483,0.43359071016311646
2,1.4426042797936334,0.4729555555555556,1.2864673625946046,0.5314,1.33493586101532,0.5127,0.5193070769309998,0.5030553936958313
3,1.304193786239624,0.5297555555555555,1.1779188302993775,0.5794,1.2151060569763183,0.5559,0.5679803490638733,0.5434662103652954
4,1.22680977590349,0.5585111111111111,1.1080604694366456,0.5924,1.1425431241989137,0.5848,0.5906707644462585,0.5841341018676758
5,1.1683747435039944,0.5799555555555556,1.0973499406814575,0.6062,1.1409347969055175,0.5891,0.5952795743942261,0.5778666138648987
6,1.127780772442288,0.5949555555555556,1.0860929939270019,0.611,1.1358274847984313,0.594,0.6058720350265503,0.5905050039291382
7,1.0862993160035874,0.6098666666666667,1.0253971341133117,0.633,1.066254416179657,0.6182,0.6230909824371338,0.607504665851593
8,1.0449017926534017,0.6246222222222222,0.9880085699081421,0.647,1.0289426931381225,0.6337,0.6412442326545715,0.629555881023407
9,1.0180629219690958,0.6360888888888889,0.947730892944336,0.6564,0.9878673314094544,0.6491,0.6546161770820618,0.647260308265686
10,0.9809205880482992,0.6489555555555555,0.9365789071083069,0.6622,0.9717406925201416,0.6512,0.6601524949073792,0.6503083109855652
11,0.9542035371462504,0.6606,0.928757865524292,0.669,0.9736280067443848,0.6537,0.6670753955841064,0.6516710519790649
12,0.9238806334601508,0.6672,0.9032797476768494,0.6794,0.9446483129501343,0.6618,0.6742216348648071,0.6579476594924927
13,0.9035677272584703,0.6757333333333333,0.8918195157051086,0.6782,0.9308748068809509,0.664,0.6720643043518066,0.6591317057609558
14,0.8807883390002781,0.6852666666666667,0.855488151550293,0.689,0.8984638147354126,0.68,0.6858139634132385,0.6781872510910034
15,0.8525435271792942,0.6952222222222222,0.8729264554977417,0.6938,0.9187397640228272,0.6729,0.6899072527885437,0.6704626679420471
16,0.8372263660430909,0.699,0.8232464533805847,0.7082,0.8732690978050232,0.6885,0.7024484872817993,0.6836011409759521
17,0.8142352626164754,0.7081333333333333,0.8417197423934937,0.7012,0.8888548574447632,0.6837,0.6965134143829346,0.6801648736000061
18,0.7888178775363498,0.7187111111111111,0.786112361240387,0.7176,0.8325265949249268,0.7098,0.7169245481491089,0.7100062966346741
19,0.7792492835786607,0.722,0.7906135157585144,0.7242,0.8567316414833069,0.6976,0.7196843028068542,0.693489670753479
20,0.7610869195408291,0.7296444444444444,0.7700608958244324,0.7308,0.8203186794281006,0.7089,0.7305172681808472,0.7092119455337524
21,0.7409410451783074,0.7336666666666667,0.765770664691925,0.7288,0.8061795970439911,0.7184,0.7288375496864319,0.7191542387008667
22,0.7249821377754211,0.7438,0.7428190869808197,0.7362,0.7885137543678283,0.7245,0.7332975268363953,0.7228986620903015
23,0.7071290238592359,0.7471111111111111,0.7523192142486572,0.7378,0.8014338730812073,0.7156,0.7345794439315796,0.7119561433792114
24,0.6908463432947795,0.7539777777777777,0.726590310049057,0.7452,0.7819025760650635,0.7285,0.7428694367408752,0.7260569930076599
25,0.6778262774361504,0.7584444444444445,0.7003071043014526,0.751,0.7557929107666016,0.7389,0.747590184211731,0.7367613911628723
26,0.6582944721433851,0.7651777777777777,0.7326623722076416,0.7392,0.7820684906959534,0.7272,0.7384598851203918,0.7277556657791138
27,0.6500531512154473,0.7672222222222222,0.6921864228725433,0.7562,0.7464273208618164,0.7414,0.7532588243484497,0.7393064498901367
28,0.6396026890330845,0.7726444444444445,0.6925469790935517,0.7498,0.731714984703064,0.7413,0.7486534714698792,0.7410286664962769
29,0.614169780116611,0.7789333333333334,0.7182127717018127,0.7504,0.7645010138511658,0.7381,0.7482980489730835,0.7368841171264648
30,0.6055080725775824,0.7830222222222222,0.6831851411819458,0.7616,0.7362601261138916,0.7438,0.7596758604049683,0.7422413229942322
31,0.5979094929801093,0.7840888888888888,0.6951735852241516,0.7592,0.7383561030387878,0.7427,0.7565561532974243,0.7410189509391785
32,0.5789524233394199,0.7938444444444445,0.6878209776878357,0.7576,0.744665376663208,0.7405,0.7550312280654907,0.738754391670227
33,0.5726424227502611,0.7954666666666667,0.7120878340721131,0.7536,0.7452076190948487,0.7434,0.750377893447876,0.7407382130622864
34,0.5561394669744704,0.8006,0.6656903211593628,0.7638,0.7152492847442627,0.7586,0.7623737454414368,0.7587094306945801
35,0.5435774367385441,0.8072222222222222,0.6810330855846405,0.759,0.7235826181411743,0.753,0.7573361396789551,0.7523362636566162
36,0.5349321309937372,0.8083111111111111,0.6755170335292816,0.7678,0.7259687874794006,0.7493,0.7668370008468628,0.7486265897750854
37,0.5239564919259813,0.8128888888888889,0.6769110836029053,0.7652,0.7288512050628662,0.7526,0.763439953327179,0.7523085474967957
38,0.5110510178989834,0.8179333333333333,0.6561003834724426,0.778,0.7246603509902955,0.7554,0.7757049202919006,0.7544326782226562
39,0.5004363959842258,0.8192888888888888,0.6941945513010025,0.7632,0.7378265621185303,0.7543,0.7638487815856934,0.7563527822494507
40,0.49345296552446155,0.8229555555555556,0.6857183599472045,0.775,0.735986534023285,0.7497,0.7732284069061279,0.7488332390785217
41,0.4855718616909451,0.8256,0.6823600096225738,0.7686,0.7227824674606323,0.757,0.7664439678192139,0.7557402849197388
42,0.47264576137860614,0.8306666666666667,0.6748367305755615,0.766,0.7357924991607666,0.7515,0.763144850730896,0.749863862991333
43,0.4593734292348226,0.8372888888888889,0.6761077185630798,0.7756,0.7264770884513855,0.758,0.7731901407241821,0.7563157081604004
44,0.44973193553818597,0.8372444444444445,0.6767116561889649,0.7712,0.7110165386199951,0.7613,0.7715274095535278,0.7618948221206665
45,0.3703390790939331,0.8678444444444444,0.650638135433197,0.7856,0.7005530146121979,0.7697,0.7845115661621094,0.7693500518798828
46,0.3524281600634257,0.8733777777777778,0.6624253927230835,0.7798,0.7266948491096497,0.7624,0.7788974046707153,0.7630108594894409
47,0.3430335870212979,0.8769333333333333,0.6836845699310303,0.7792,0.7254343953132629,0.7689,0.7773046493530273,0.7680131196975708
48,0.33296160395410324,0.8808888888888889,0.6908631327867508,0.7856,0.7365232221603394,0.7721,0.7836049199104309,0.7714816331863403
49,0.3255257483429379,0.8832666666666666,0.6843410520553589,0.7846,0.7352450055122376,0.77,0.7836312055587769,0.7695007920265198
50,0.3140123369587792,0.8866444444444445,0.6883212768554687,0.783,0.7375049084663391,0.7713,0.7814661264419556,0.7711209058761597
51,0.3113630589882533,0.8879777777777778,0.6884565804958344,0.7816,0.7357098187923431,0.7737,0.7798962593078613,0.7725256085395813
52,0.26477792881329854,0.9046888888888889,0.6840868190765381,0.7904,0.7477275757789612,0.7726,0.7892798185348511,0.7718746066093445
53,0.24702292230394152,0.9124,0.6864375637054443,0.7936,0.7473472176551819,0.7781,0.7930082082748413,0.778031587600708
54,0.24235719700654348,0.9120888888888888,0.6831479192733765,0.7944,0.7342298750877381,0.7804,0.7932394742965698,0.7804024815559387
55,0.23751309962537553,0.9141555555555556,0.7229571908950806,0.7852,0.7767917366981506,0.7717,0.7851487398147583,0.7723132371902466
56,0.22960021753311158,0.9178,0.7051799349784851,0.7846,0.7615334415912628,0.776,0.7837462425231934,0.7760597467422485
57,0.22807862200737,0.9192222222222223,0.7163591482162476,0.7838,0.7573540396690369,0.7779,0.7829636931419373,0.7780402898788452
58,0.21949346462620628,0.9221555555555555,0.7399296051979065,0.785,0.7819389071941376,0.7763,0.7843176126480103,0.7760162949562073
59,0.21937101152737937,0.9204444444444444,0.7312720856189728,0.792,0.7829844472885131,0.7772,0.790695309638977,0.7764583826065063
60,0.22097531202104356,0.9212666666666667,0.7420808170795441,0.7884,0.7931113404750824,0.7752,0.7874537706375122,0.7746522426605225
61,0.19027630918820698,0.9322666666666667,0.729615931892395,0.7924,0.7876293399810791,0.7777,0.791121244430542,0.7770878076553345
62,0.1826788949198193,0.9353333333333333,0.7415582283973694,0.787,0.7974595886230469,0.778,0.7861226797103882,0.7777763605117798
63,0.17867969146834478,0.9380444444444445,0.7437951257705688,0.7906,0.7971466702461243,0.7791,0.7901847958564758,0.7793568968772888
