config_key,CNN Baseline,ViT Dropout 0.1
model.architecture,resnet18,None
model.attention_dropout,None,0.1
model.embed_dim,None,128
model.embedding_dropout,None,0.1
model.image_size,224,None
model.img_size,None,32
model.in_channels,None,3
model.mlp_dropout,None,0.1
model.mlp_hidden_dim,None,512
model.num_blocks,None,4
model.num_heads,None,4
model.patch_size,None,4
model.projection_dropout,None,0.1
model.weights,imagenet,None
training.batch_size,64,128
training.lr,0.0001,0.0003
training.weight_decay,0.01,0.05
command,train_cnn_cifar10.py --epochs 20 --run-name cnn_resnet18_baseline,train_cifar10.py --epochs 20 --run-name vit_dropout_01 --embedding-dropout 0.1 --attention-dropout 0.1 --projection-dropout 0.1 --mlp-dropout 0.1
outputs.run_name,cnn_resnet18_baseline,vit_dropout_01
